Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v0/teas/3853,1,0,24.243124993517995,24.243124993517995,24.243124993517995,24.243124993517995,138.0,0.016810592220491145,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/v0/teas/3912,1,0,16.162624990101904,16.162624990101904,16.162624990101904,16.162624990101904,130.0,0.016810592220491145,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v0/teas/4024,1,0,450.8115409989841,450.8115409989841,450.8115409989841,450.8115409989841,138.0,0.016810592220491145,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/v0/teas/403,1,0,540.0127499888185,540.0127499888185,540.0127499888185,540.0127499888185,129.0,0.016810592220491145,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/api/v0/teas/4063,1,0,22.857415984617546,22.857415984617546,22.857415984617546,22.857415984617546,133.0,0.016810592220491145,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/v0/teas/4083,1,0,9.225834015524015,9.225834015524015,9.225834015524015,9.225834015524015,130.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/4101,1,0,80.63970899092965,80.63970899092965,80.63970899092965,80.63970899092965,132.0,0.016810592220491145,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/api/v0/teas/4146,1,0,33.4603329829406,33.4603329829406,33.4603329829406,33.4603329829406,129.0,0.016810592220491145,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/v0/teas/4261,1,0,7.666582998353988,7.666582998353988,7.666582998353988,7.666582998353988,129.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/427,1,0,175.29220899450593,175.29220899450593,175.29220899450593,175.29220899450593,127.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v0/teas/4297,1,0,33.692625002004206,33.692625002004206,33.692625002004206,33.692625002004206,129.0,0.016810592220491145,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/api/v0/teas/4362,1,0,12.780166987795383,12.780166987795383,12.780166987795383,12.780166987795383,137.0,0.016810592220491145,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v0/teas/4366,1,0,12.929291988257319,12.929291988257319,12.929291988257319,12.929291988257319,129.0,0.016810592220491145,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v0/teas/4453,1,0,12.212708999868482,12.212708999868482,12.212708999868482,12.212708999868482,131.0,0.016810592220491145,0.0,12,12,12,12,12,12,12,12,12,12,12
