Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699222763,16,GET,/api/v0/teas/5925,0.166667,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222763,16,GET,/api/v0/teas/6599,0.166667,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222763,16,GET,/api/v0/teas/6955,0.166667,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222763,16,GET,/api/v0/teas/7132,0.166667,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222763,16,GET,/api/v0/teas/7407,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,11.674624984152615,11.674624984152615,11.674624984152615,11.674624984152615,127.0
1699222763,16,GET,/api/v0/teas/7659,0.166667,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222763,16,GET,/api/v0/teas/7756,0.166667,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222763,16,GET,/api/v0/teas/8418,0.000000,0.000000,24,24,24,24,24,24,24,24,24,24,24,1,0,24.040292017161846,24.040292017161846,24.040292017161846,24.040292017161846,138.0
1699222763,16,GET,/api/v0/teas/9794,0.166667,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222763,16,POST,/api/v0/unsubscribe,0.166667,0.000000,13,13,13,13,13,13,13,13,13,13,13,1,0,13.491291989339516,13.491291989339516,13.491291989339516,13.491291989339516,22.0
1699222763,16,,Aggregated,3.333333,0.000000,24,30,32,35,46,64,68,68,68,68,68,35,0,24,28.396965426093498,8.0713749921415,67.63674999820068,1423.5142857142857
1699222764,18,POST,/api/v0/subscribe,0.428571,0.000000,32,32,43,43,43,43,43,43,43,43,43,4,0,22,28.44890599953942,16.530875000171363,43.22395799681544,22.0
